"LOCATION","Country","VARIABLE","Variable","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"DEU","Germany","UNR","Unemployment rate","Q","Quarterly","2019-Q1","Q1-2019","PC","Percentage","0","Units",,,3.2258064516,,
"DEU","Germany","UNR","Unemployment rate","Q","Quarterly","2019-Q2","Q2-2019","PC","Percentage","0","Units",,,3.1192519926,,
"DEU","Germany","UNR","Unemployment rate","Q","Quarterly","2019-Q3","Q3-2019","PC","Percentage","0","Units",,,3.0773941667,,
"DEU","Germany","UNR","Unemployment rate","Q","Quarterly","2019-Q4","Q4-2019","PC","Percentage","0","Units",,,3.2511638556,,
"DEU","Germany","UNR","Unemployment rate","Q","Quarterly","2020-Q1","Q1-2020","PC","Percentage","0","Units",,,3.5248340581,,
"DEU","Germany","UNR","Unemployment rate","Q","Quarterly","2020-Q2","Q2-2020","PC","Percentage","0","Units",,,3.8420245399,,
"DEU","Germany","UNR","Unemployment rate","Q","Quarterly","2020-Q3","Q3-2020","PC","Percentage","0","Units",,,4.064665127,,
"DEU","Germany","UNR","Unemployment rate","Q","Quarterly","2020-Q4","Q4-2020","PC","Percentage","0","Units",,,4.0513375599,,
"DEU","Germany","UNR","Unemployment rate","Q","Quarterly","2021-Q1","Q1-2021","PC","Percentage","0","Units",,,3.9189715621,,
"DEU","Germany","UNR","Unemployment rate","Q","Quarterly","2021-Q2","Q2-2021","PC","Percentage","0","Units",,,3.7253072017,,
"DEU","Germany","UNR","Unemployment rate","Q","Quarterly","2021-Q3","Q3-2021","PC","Percentage","0","Units",,,3.4530814494,,
"DEU","Germany","UNR","Unemployment rate","Q","Quarterly","2021-Q4","Q4-2021","PC","Percentage","0","Units",,,3.2170961271,,
"DEU","Germany","UNR","Unemployment rate","Q","Quarterly","2022-Q1","Q1-2022","PC","Percentage","0","Units",,,3.0042918455,,
"DEU","Germany","UNR","Unemployment rate","Q","Quarterly","2022-Q2","Q2-2022","PC","Percentage","0","Units",,,3.033309309,,
"DEU","Germany","UNR","Unemployment rate","Q","Quarterly","2022-Q3","Q3-2022","PC","Percentage","0","Units",,,3.101003219,,
"DEU","Germany","UNR","Unemployment rate","Q","Quarterly","2022-Q4","Q4-2022","PC","Percentage","0","Units",,,3.1883286293,,
"DEU","Germany","UNR","Unemployment rate","Q","Quarterly","2023-Q1","Q1-2023","PC","Percentage","0","Units",,,3.287596025,,
"DEU","Germany","UNR","Unemployment rate","Q","Quarterly","2023-Q2","Q2-2023","PC","Percentage","0","Units",,,3.3891365169,,
"DEU","Germany","UNR","Unemployment rate","Q","Quarterly","2023-Q3","Q3-2023","PC","Percentage","0","Units",,,3.4929477402,,
"DEU","Germany","UNR","Unemployment rate","Q","Quarterly","2023-Q4","Q4-2023","PC","Percentage","0","Units",,,3.5990271546,,
"AUT","Austria","UNR","Unemployment rate","Q","Quarterly","2019-Q1","Q1-2019","PC","Percentage","0","Units",,,4.6872510001,,
"AUT","Austria","UNR","Unemployment rate","Q","Quarterly","2019-Q2","Q2-2019","PC","Percentage","0","Units",,,4.3940830644,,
"AUT","Austria","UNR","Unemployment rate","Q","Quarterly","2019-Q3","Q3-2019","PC","Percentage","0","Units",,,4.5277878261,,
"AUT","Austria","UNR","Unemployment rate","Q","Quarterly","2019-Q4","Q4-2019","PC","Percentage","0","Units",,,4.3369720818,,
"AUT","Austria","UNR","Unemployment rate","Q","Quarterly","2020-Q1","Q1-2020","PC","Percentage","0","Units",,,4.4191882796,,
"AUT","Austria","UNR","Unemployment rate","Q","Quarterly","2020-Q2","Q2-2020","PC","Percentage","0","Units",,,5.5467091773,,
"AUT","Austria","UNR","Unemployment rate","Q","Quarterly","2020-Q3","Q3-2020","PC","Percentage","0","Units",,,5.8260148236,,
"AUT","Austria","UNR","Unemployment rate","Q","Quarterly","2020-Q4","Q4-2020","PC","Percentage","0","Units",,,5.6573074639,,
"AUT","Austria","UNR","Unemployment rate","Q","Quarterly","2021-Q1","Q1-2021","PC","Percentage","0","Units",,,7.6146463543,,
"AUT","Austria","UNR","Unemployment rate","Q","Quarterly","2021-Q2","Q2-2021","PC","Percentage","0","Units",,,6.4362203508,,
"AUT","Austria","UNR","Unemployment rate","Q","Quarterly","2021-Q3","Q3-2021","PC","Percentage","0","Units",,,5.4067220786,,
"AUT","Austria","UNR","Unemployment rate","Q","Quarterly","2021-Q4","Q4-2021","PC","Percentage","0","Units",,,5.2534069376,,
"AUT","Austria","UNR","Unemployment rate","Q","Quarterly","2022-Q1","Q1-2022","PC","Percentage","0","Units",,,5.3476821545,,
"AUT","Austria","UNR","Unemployment rate","Q","Quarterly","2022-Q2","Q2-2022","PC","Percentage","0","Units",,,5.2765428316,,
"AUT","Austria","UNR","Unemployment rate","Q","Quarterly","2022-Q3","Q3-2022","PC","Percentage","0","Units",,,5.0870959173,,
"AUT","Austria","UNR","Unemployment rate","Q","Quarterly","2022-Q4","Q4-2022","PC","Percentage","0","Units",,,5.1495870643,,
"AUT","Austria","UNR","Unemployment rate","Q","Quarterly","2023-Q1","Q1-2023","PC","Percentage","0","Units",,,5.0547366513,,
"AUT","Austria","UNR","Unemployment rate","Q","Quarterly","2023-Q2","Q2-2023","PC","Percentage","0","Units",,,4.9977694933,,
"AUT","Austria","UNR","Unemployment rate","Q","Quarterly","2023-Q3","Q3-2023","PC","Percentage","0","Units",,,4.9692688242,,
"AUT","Austria","UNR","Unemployment rate","Q","Quarterly","2023-Q4","Q4-2023","PC","Percentage","0","Units",,,4.9692688242,,
"ITA","Italy","UNR","Unemployment rate","Q","Quarterly","2019-Q1","Q1-2019","PC","Percentage","0","Units",,,10.314658659,,
"ITA","Italy","UNR","Unemployment rate","Q","Quarterly","2019-Q2","Q2-2019","PC","Percentage","0","Units",,,9.9358750142,,
"ITA","Italy","UNR","Unemployment rate","Q","Quarterly","2019-Q3","Q3-2019","PC","Percentage","0","Units",,,9.5838315648,,
"ITA","Italy","UNR","Unemployment rate","Q","Quarterly","2019-Q4","Q4-2019","PC","Percentage","0","Units",,,9.6436066779,,
"ITA","Italy","UNR","Unemployment rate","Q","Quarterly","2020-Q1","Q1-2020","PC","Percentage","0","Units",,,8.9913934794,,
"ITA","Italy","UNR","Unemployment rate","Q","Quarterly","2020-Q2","Q2-2020","PC","Percentage","0","Units",,,8.5717438708,,
"ITA","Italy","UNR","Unemployment rate","Q","Quarterly","2020-Q3","Q3-2020","PC","Percentage","0","Units",,,9.9979986213,,
"ITA","Italy","UNR","Unemployment rate","Q","Quarterly","2020-Q4","Q4-2020","PC","Percentage","0","Units",,,9.7505644789,,
"ITA","Italy","UNR","Unemployment rate","Q","Quarterly","2021-Q1","Q1-2021","PC","Percentage","0","Units",,,10.1329185153,,
"ITA","Italy","UNR","Unemployment rate","Q","Quarterly","2021-Q2","Q2-2021","PC","Percentage","0","Units",,,9.7669851306,,
"ITA","Italy","UNR","Unemployment rate","Q","Quarterly","2021-Q3","Q3-2021","PC","Percentage","0","Units",,,9.0479593996,,
"ITA","Italy","UNR","Unemployment rate","Q","Quarterly","2021-Q4","Q4-2021","PC","Percentage","0","Units",,,8.9768628193,,
"ITA","Italy","UNR","Unemployment rate","Q","Quarterly","2022-Q1","Q1-2022","PC","Percentage","0","Units",,,8.4373222088,,
"ITA","Italy","UNR","Unemployment rate","Q","Quarterly","2022-Q2","Q2-2022","PC","Percentage","0","Units",,,9.0306429053,,
"ITA","Italy","UNR","Unemployment rate","Q","Quarterly","2022-Q3","Q3-2022","PC","Percentage","0","Units",,,9.2663382999,,
"ITA","Italy","UNR","Unemployment rate","Q","Quarterly","2022-Q4","Q4-2022","PC","Percentage","0","Units",,,9.3568231283,,
"ITA","Italy","UNR","Unemployment rate","Q","Quarterly","2023-Q1","Q1-2023","PC","Percentage","0","Units",,,9.3929845712,,
"ITA","Italy","UNR","Unemployment rate","Q","Quarterly","2023-Q2","Q2-2023","PC","Percentage","0","Units",,,9.3560165409,,
"ITA","Italy","UNR","Unemployment rate","Q","Quarterly","2023-Q3","Q3-2023","PC","Percentage","0","Units",,,9.3190334274,,
"ITA","Italy","UNR","Unemployment rate","Q","Quarterly","2023-Q4","Q4-2023","PC","Percentage","0","Units",,,9.2820352247,,
"CAN","Canada","UNR","Unemployment rate","Q","Quarterly","2019-Q1","Q1-2019","PC","Percentage","0","Units",,,5.8878047482,,
"CAN","Canada","UNR","Unemployment rate","Q","Quarterly","2019-Q2","Q2-2019","PC","Percentage","0","Units",,,5.5451473743,,
"CAN","Canada","UNR","Unemployment rate","Q","Quarterly","2019-Q3","Q3-2019","PC","Percentage","0","Units",,,5.7282193356,,
"CAN","Canada","UNR","Unemployment rate","Q","Quarterly","2019-Q4","Q4-2019","PC","Percentage","0","Units",,,5.8192024286,,
"CAN","Canada","UNR","Unemployment rate","Q","Quarterly","2020-Q1","Q1-2020","PC","Percentage","0","Units",,,6.3878352244,,
"CAN","Canada","UNR","Unemployment rate","Q","Quarterly","2020-Q2","Q2-2020","PC","Percentage","0","Units",,,12.8713716513,,
"CAN","Canada","UNR","Unemployment rate","Q","Quarterly","2020-Q3","Q3-2020","PC","Percentage","0","Units",,,10.123119242,,
"CAN","Canada","UNR","Unemployment rate","Q","Quarterly","2020-Q4","Q4-2020","PC","Percentage","0","Units",,,8.9239952523,,
"CAN","Canada","UNR","Unemployment rate","Q","Quarterly","2021-Q1","Q1-2021","PC","Percentage","0","Units",,,8.3828896575,,
"CAN","Canada","UNR","Unemployment rate","Q","Quarterly","2021-Q2","Q2-2021","PC","Percentage","0","Units",,,7.8612617888,,
"CAN","Canada","UNR","Unemployment rate","Q","Quarterly","2021-Q3","Q3-2021","PC","Percentage","0","Units",,,7.1883153817,,
"CAN","Canada","UNR","Unemployment rate","Q","Quarterly","2021-Q4","Q4-2021","PC","Percentage","0","Units",,,6.3100495062,,
"CAN","Canada","UNR","Unemployment rate","Q","Quarterly","2022-Q1","Q1-2022","PC","Percentage","0","Units",,,5.7838626126,,
"CAN","Canada","UNR","Unemployment rate","Q","Quarterly","2022-Q2","Q2-2022","PC","Percentage","0","Units",,,5.6052270862,,
"CAN","Canada","UNR","Unemployment rate","Q","Quarterly","2022-Q3","Q3-2022","PC","Percentage","0","Units",,,5.501589747,,
"CAN","Canada","UNR","Unemployment rate","Q","Quarterly","2022-Q4","Q4-2022","PC","Percentage","0","Units",,,5.4449925757,,
"CAN","Canada","UNR","Unemployment rate","Q","Quarterly","2023-Q1","Q1-2023","PC","Percentage","0","Units",,,5.3977953074,,
"CAN","Canada","UNR","Unemployment rate","Q","Quarterly","2023-Q2","Q2-2023","PC","Percentage","0","Units",,,5.3600148742,,
"CAN","Canada","UNR","Unemployment rate","Q","Quarterly","2023-Q3","Q3-2023","PC","Percentage","0","Units",,,5.3316654028,,
"CAN","Canada","UNR","Unemployment rate","Q","Quarterly","2023-Q4","Q4-2023","PC","Percentage","0","Units",,,5.312758206,,
"MEX","Mexico","UNR","Unemployment rate","Q","Quarterly","2019-Q1","Q1-2019","PC","Percentage","0","Units",,,3.4080415024,,
"MEX","Mexico","UNR","Unemployment rate","Q","Quarterly","2019-Q2","Q2-2019","PC","Percentage","0","Units",,,3.5573160484,,
"MEX","Mexico","UNR","Unemployment rate","Q","Quarterly","2019-Q3","Q3-2019","PC","Percentage","0","Units",,,3.4849224198,,
"MEX","Mexico","UNR","Unemployment rate","Q","Quarterly","2019-Q4","Q4-2019","PC","Percentage","0","Units",,,3.4171929376,,
"MEX","Mexico","UNR","Unemployment rate","Q","Quarterly","2020-Q1","Q1-2020","PC","Percentage","0","Units",,,3.4842204197,,
"MEX","Mexico","UNR","Unemployment rate","Q","Quarterly","2020-Q2","Q2-2020","PC","Percentage","0","Units",,,4.9159230724,,
"MEX","Mexico","UNR","Unemployment rate","Q","Quarterly","2020-Q3","Q3-2020","PC","Percentage","0","Units",,,4.9415897702,,
"MEX","Mexico","UNR","Unemployment rate","Q","Quarterly","2020-Q4","Q4-2020","PC","Percentage","0","Units",,,4.4308509277,,
"MEX","Mexico","UNR","Unemployment rate","Q","Quarterly","2021-Q1","Q1-2021","PC","Percentage","0","Units",,,4.4074699598,,
"MEX","Mexico","UNR","Unemployment rate","Q","Quarterly","2021-Q2","Q2-2021","PC","Percentage","0","Units",,,4.3202974771,,
"MEX","Mexico","UNR","Unemployment rate","Q","Quarterly","2021-Q3","Q3-2021","PC","Percentage","0","Units",,,4.0181679828,,
"MEX","Mexico","UNR","Unemployment rate","Q","Quarterly","2021-Q4","Q4-2021","PC","Percentage","0","Units",,,3.8073234133,,
"MEX","Mexico","UNR","Unemployment rate","Q","Quarterly","2022-Q1","Q1-2022","PC","Percentage","0","Units",,,3.5238734603,,
"MEX","Mexico","UNR","Unemployment rate","Q","Quarterly","2022-Q2","Q2-2022","PC","Percentage","0","Units",,,3.5238734603,,
"MEX","Mexico","UNR","Unemployment rate","Q","Quarterly","2022-Q3","Q3-2022","PC","Percentage","0","Units",,,3.6200610242,,
"MEX","Mexico","UNR","Unemployment rate","Q","Quarterly","2022-Q4","Q4-2022","PC","Percentage","0","Units",,,3.6200610242,,
"MEX","Mexico","UNR","Unemployment rate","Q","Quarterly","2023-Q1","Q1-2023","PC","Percentage","0","Units",,,3.715961461,,
"MEX","Mexico","UNR","Unemployment rate","Q","Quarterly","2023-Q2","Q2-2023","PC","Percentage","0","Units",,,3.715961461,,
"MEX","Mexico","UNR","Unemployment rate","Q","Quarterly","2023-Q3","Q3-2023","PC","Percentage","0","Units",,,3.8116712408,,
"MEX","Mexico","UNR","Unemployment rate","Q","Quarterly","2023-Q4","Q4-2023","PC","Percentage","0","Units",,,3.9072858817,,
"EST","Estonia","UNR","Unemployment rate","Q","Quarterly","2019-Q1","Q1-2019","PC","Percentage","0","Units",,,4.7220630759,,
"EST","Estonia","UNR","Unemployment rate","Q","Quarterly","2019-Q2","Q2-2019","PC","Percentage","0","Units",,,4.6838182547,,
"EST","Estonia","UNR","Unemployment rate","Q","Quarterly","2019-Q3","Q3-2019","PC","Percentage","0","Units",,,3.9854706078,,
"EST","Estonia","UNR","Unemployment rate","Q","Quarterly","2019-Q4","Q4-2019","PC","Percentage","0","Units",,,4.3990730634,,
"EST","Estonia","UNR","Unemployment rate","Q","Quarterly","2020-Q1","Q1-2020","PC","Percentage","0","Units",,,5.0126960395,,
"EST","Estonia","UNR","Unemployment rate","Q","Quarterly","2020-Q2","Q2-2020","PC","Percentage","0","Units",,,6.5164292061,,
"EST","Estonia","UNR","Unemployment rate","Q","Quarterly","2020-Q3","Q3-2020","PC","Percentage","0","Units",,,7.7866705046,,
"EST","Estonia","UNR","Unemployment rate","Q","Quarterly","2020-Q4","Q4-2020","PC","Percentage","0","Units",,,7.918921856,,
"EST","Estonia","UNR","Unemployment rate","Q","Quarterly","2021-Q1","Q1-2021","PC","Percentage","0","Units",,,7.1050734548,,
"EST","Estonia","UNR","Unemployment rate","Q","Quarterly","2021-Q2","Q2-2021","PC","Percentage","0","Units",,,6.273952938,,
"EST","Estonia","UNR","Unemployment rate","Q","Quarterly","2021-Q3","Q3-2021","PC","Percentage","0","Units",,,5.7821090115,,
"EST","Estonia","UNR","Unemployment rate","Q","Quarterly","2021-Q4","Q4-2021","PC","Percentage","0","Units",,,5.5459976579,,
"EST","Estonia","UNR","Unemployment rate","Q","Quarterly","2022-Q1","Q1-2022","PC","Percentage","0","Units",,,5.9200729147,,
"EST","Estonia","UNR","Unemployment rate","Q","Quarterly","2022-Q2","Q2-2022","PC","Percentage","0","Units",,,6.7542791647,,
"EST","Estonia","UNR","Unemployment rate","Q","Quarterly","2022-Q3","Q3-2022","PC","Percentage","0","Units",,,7.581088512,,
"EST","Estonia","UNR","Unemployment rate","Q","Quarterly","2022-Q4","Q4-2022","PC","Percentage","0","Units",,,8.1743951043,,
"EST","Estonia","UNR","Unemployment rate","Q","Quarterly","2023-Q1","Q1-2023","PC","Percentage","0","Units",,,8.4471444258,,
"EST","Estonia","UNR","Unemployment rate","Q","Quarterly","2023-Q2","Q2-2023","PC","Percentage","0","Units",,,8.2649496883,,
"EST","Estonia","UNR","Unemployment rate","Q","Quarterly","2023-Q3","Q3-2023","PC","Percentage","0","Units",,,8.1736710313,,
"EST","Estonia","UNR","Unemployment rate","Q","Quarterly","2023-Q4","Q4-2023","PC","Percentage","0","Units",,,8.1736710313,,
"IRL","Ireland","UNR","Unemployment rate","Q","Quarterly","2019-Q1","Q1-2019","PC","Percentage","0","Units",,,4.9297217555,,
"IRL","Ireland","UNR","Unemployment rate","Q","Quarterly","2019-Q2","Q2-2019","PC","Percentage","0","Units",,,5.1384869781,,
"IRL","Ireland","UNR","Unemployment rate","Q","Quarterly","2019-Q3","Q3-2019","PC","Percentage","0","Units",,,4.9798668748,,
"IRL","Ireland","UNR","Unemployment rate","Q","Quarterly","2019-Q4","Q4-2019","PC","Percentage","0","Units",,,4.762291092,,
"IRL","Ireland","UNR","Unemployment rate","Q","Quarterly","2020-Q1","Q1-2020","PC","Percentage","0","Units",,,4.8379973501,,
"IRL","Ireland","UNR","Unemployment rate","Q","Quarterly","2020-Q2","Q2-2020","PC","Percentage","0","Units",,,5.08,,
"IRL","Ireland","UNR","Unemployment rate","Q","Quarterly","2020-Q3","Q3-2020","PC","Percentage","0","Units",,,7.067563081,,
"IRL","Ireland","UNR","Unemployment rate","Q","Quarterly","2020-Q4","Q4-2020","PC","Percentage","0","Units",,,6.2381149235,,
"IRL","Ireland","UNR","Unemployment rate","Q","Quarterly","2021-Q1","Q1-2021","PC","Percentage","0","Units",,,7.3285079783,,
"IRL","Ireland","UNR","Unemployment rate","Q","Quarterly","2021-Q2","Q2-2021","PC","Percentage","0","Units",,,6.8765633065,,
"IRL","Ireland","UNR","Unemployment rate","Q","Quarterly","2021-Q3","Q3-2021","PC","Percentage","0","Units",,,5.4660772631,,
"IRL","Ireland","UNR","Unemployment rate","Q","Quarterly","2021-Q4","Q4-2021","PC","Percentage","0","Units",,,5.1735926461,,
"IRL","Ireland","UNR","Unemployment rate","Q","Quarterly","2022-Q1","Q1-2022","PC","Percentage","0","Units",,,4.9438792747,,
"IRL","Ireland","UNR","Unemployment rate","Q","Quarterly","2022-Q2","Q2-2022","PC","Percentage","0","Units",,,4.8256353334,,
"IRL","Ireland","UNR","Unemployment rate","Q","Quarterly","2022-Q3","Q3-2022","PC","Percentage","0","Units",,,4.8020860641,,
"IRL","Ireland","UNR","Unemployment rate","Q","Quarterly","2022-Q4","Q4-2022","PC","Percentage","0","Units",,,4.8020860641,,
"IRL","Ireland","UNR","Unemployment rate","Q","Quarterly","2023-Q1","Q1-2023","PC","Percentage","0","Units",,,4.8722307124,,
"IRL","Ireland","UNR","Unemployment rate","Q","Quarterly","2023-Q2","Q2-2023","PC","Percentage","0","Units",,,4.9536677039,,
"IRL","Ireland","UNR","Unemployment rate","Q","Quarterly","2023-Q3","Q3-2023","PC","Percentage","0","Units",,,5.011699195,,
"IRL","Ireland","UNR","Unemployment rate","Q","Quarterly","2023-Q4","Q4-2023","PC","Percentage","0","Units",,,5.0696952543,,
"CZE","Czech Republic","UNR","Unemployment rate","Q","Quarterly","2019-Q1","Q1-2019","PC","Percentage","0","Units",,,1.9591931546,,
"CZE","Czech Republic","UNR","Unemployment rate","Q","Quarterly","2019-Q2","Q2-2019","PC","Percentage","0","Units",,,1.9392058342,,
"CZE","Czech Republic","UNR","Unemployment rate","Q","Quarterly","2019-Q3","Q3-2019","PC","Percentage","0","Units",,,2.0498073012,,
"CZE","Czech Republic","UNR","Unemployment rate","Q","Quarterly","2019-Q4","Q4-2019","PC","Percentage","0","Units",,,2.0578058389,,
"CZE","Czech Republic","UNR","Unemployment rate","Q","Quarterly","2020-Q1","Q1-2020","PC","Percentage","0","Units",,,1.9357325152,,
"CZE","Czech Republic","UNR","Unemployment rate","Q","Quarterly","2020-Q2","Q2-2020","PC","Percentage","0","Units",,,2.4688376241,,
"CZE","Czech Republic","UNR","Unemployment rate","Q","Quarterly","2020-Q3","Q3-2020","PC","Percentage","0","Units",,,2.7271775841,,
"CZE","Czech Republic","UNR","Unemployment rate","Q","Quarterly","2020-Q4","Q4-2020","PC","Percentage","0","Units",,,3.033810735,,
"CZE","Czech Republic","UNR","Unemployment rate","Q","Quarterly","2021-Q1","Q1-2021","PC","Percentage","0","Units",,,3.2882042007,,
"CZE","Czech Republic","UNR","Unemployment rate","Q","Quarterly","2021-Q2","Q2-2021","PC","Percentage","0","Units",,,3.1064166044,,
"CZE","Czech Republic","UNR","Unemployment rate","Q","Quarterly","2021-Q3","Q3-2021","PC","Percentage","0","Units",,,2.6258912724,,
"CZE","Czech Republic","UNR","Unemployment rate","Q","Quarterly","2021-Q4","Q4-2021","PC","Percentage","0","Units",,,2.2637681585,,
"CZE","Czech Republic","UNR","Unemployment rate","Q","Quarterly","2022-Q1","Q1-2022","PC","Percentage","0","Units",,,2.3952670741,,
"CZE","Czech Republic","UNR","Unemployment rate","Q","Quarterly","2022-Q2","Q2-2022","PC","Percentage","0","Units",,,2.4431971138,,
"CZE","Czech Republic","UNR","Unemployment rate","Q","Quarterly","2022-Q3","Q3-2022","PC","Percentage","0","Units",,,2.5402685595,,
"CZE","Czech Republic","UNR","Unemployment rate","Q","Quarterly","2022-Q4","Q4-2022","PC","Percentage","0","Units",,,2.5889740724,,
"CZE","Czech Republic","UNR","Unemployment rate","Q","Quarterly","2023-Q1","Q1-2023","PC","Percentage","0","Units",,,2.5889740724,,
"CZE","Czech Republic","UNR","Unemployment rate","Q","Quarterly","2023-Q2","Q2-2023","PC","Percentage","0","Units",,,2.491465538,,
"CZE","Czech Republic","UNR","Unemployment rate","Q","Quarterly","2023-Q3","Q3-2023","PC","Percentage","0","Units",,,2.5595852726,,
"CZE","Czech Republic","UNR","Unemployment rate","Q","Quarterly","2023-Q4","Q4-2023","PC","Percentage","0","Units",,,2.6276574186,,
"ISR","Israel","UNR","Unemployment rate","Q","Quarterly","2019-Q1","Q1-2019","PC","Percentage","0","Units",,,4.0653334706,,
"ISR","Israel","UNR","Unemployment rate","Q","Quarterly","2019-Q2","Q2-2019","PC","Percentage","0","Units",,,3.8673676961,,
